Intel® Product Specification Comparison
08/27/2026 11:49:00 AM
 ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel Atom® Processor P5362 ,Intel Atom® Processor P5352 ,Intel Atom® Processor P5342 ,Intel Atom® Processor P5332 ,Intel Atom® Processor P5322 ,Intel Atom® Processor C5325 ,Intel Atom® Processor C5320 ,Intel Atom® Processor C5315 ,Intel Atom® Processor C5310 ,Intel Atom® Processor C5125 ,Intel Atom® Processor C5115 ,Intel Atom® Processor C3336 ,Intel Atom® Processor P5931B ,Intel Atom® Processor P5962B ,Intel Atom® Processor P5921B ,Intel Atom® Processor P5942B ,Intel Atom® Processor C3338R ,Intel Atom® Processor C3758R ,Intel Atom® Processor C3558R ,Intel Atom® Processor C3436L ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® Processor P5742 ,Intel Atom® Processor P5721 ,Intel Atom® Processor P5752 ,Intel Atom® Processor P5731 ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E Processor ,Intel Atom® x7211E Processor ,Intel Atom® x7425E Processor ,Intel Atom® x7809C Processor ,Intel Atom® x7405C Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel Atom® Processor C5335C1 ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950
USB Configuration,,,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,,,,,,,,,,,,,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,4x USB 2.0 |  4x USB 3.0,,,,,,,,,,,,,4x USB 2.0 |  4x USB 3.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,,,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated IDE,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Purpose IO,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,5 x I2C,4 x I2C,5 x I2C,4 x I2C,,,,,,4,4 x I2C,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Max # of SATA 6.0 Gb/s Ports,,,,,,,,,,,,,,10,,,,,10,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,2,,,16,16,10,12,8,12,16,16,16,6,16,12,12,16,16
Integrated Wireless‡,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Package Specifications
Sockets Supported,FCBGA1283,FCBGA1283,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA1310,,,,,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA1493,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA2106,FCBGA1493,FCBGA1493,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA1264,FCBGA2106,FCBGA2147,FCBGA2147,FCBGA2147,FCBGA2147,FCBGA1264,FCBGA1264,FCBGA2147,FCBGA2147,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,FCBGA1283,UTFCBGA1380,UTFCBGA1380,UTFCBGA592,,,,,,FCBGA1170,UTFCBGA1380,UTFCBGA592,UTFCBGA1380,VF2BGA361,VF2BGA361,FCBGA1296,FCBGA1296,FCBGA1296,VF2BGA361,VF2BGA361,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310,FCBGA1310
TJUNCTION,100C,100C,,,,,,,,,,,,,,,,,,,,,110°C,110°C,110°C,110°C,110°C,105°C,105°C,105°C,,,,,110°C,110°C,105°C,105°C,105°C,105°C,105°C,105°C,105°C,105°C,105°C,105°C,,,,,,105°C,105°C,,,,,,,,,,,,,,,,100C,100C,90°C,90°C,90°C,,,,,90°C,90°C,90°C,90°C,90°C,,,110°C,110°C,110°C,,,,,,,,,,,,,,,,,
Package Size,34 mm x 28 mm,34 mm x 28 mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,34 mm x 28 mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,47.5mm x 47.5mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,35mm x 24mm,47.5mm x 47.5mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,35mm x 24mm,35mm x 24mm,45mm x 45mm,45mm x 45mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,12mm x 12mm,11mm x 11mm,12mm x 12mm,11mm x 11mm,17mm x 17mm,25mm x 27mm,17mm x 17mm,17mm x 17mm,17mm x 17mm,,,24mm x 31mm,24mm x 31mm,24mm x 31mm,,,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm,34 mm x 28 mm
Max CPU Configuration,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TCASE,,,,,,,,,,,,,,89°C,,,,,88°C,82°C,82°C,86°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98°C,,,97°C,,96°C,,,97°C,,97°C,,,,,,,,,,,,,,,,,,100°C,103°C,98°C,,,82°C,83°C,89°C,87°C,90°C,85°C,78°C,78°C,85°C,89°C,83°C,83°C,84°C,86°C,78°C
Operating Temperature (Minimum),,,,,,,,,,,,,,0 °C,-40 °C,-40 °C,-40 °C,-40 °C,0 °C,0 °C,0 °C,0 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,,,,,-40 °C,-40 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40 °C,-40 °C,,,,-25 °C,-25 °C,-25 °C,-25 °C,,,,,,,,-40 °C,-40 °C,-40 °C,-40 °C,-40 °C,0 °C,0 °C,0 °C,0 °C,-40 °C,0 °C,0 °C,0 °C,-40 °C,-40 °C,0 °C,0 °C,0 °C,-40 °C,0 °C
Operating Temperature (Maximum),,,,,,,,,,,,,,,85 °C,85 °C,85 °C,85 °C,,,,,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,85 °C,,,,,85 °C,85 °C,105 °C,105 °C,105 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85 °C,85 °C,,,,85 °C,85 °C,85 °C,85 °C,,,,,,,,85 °C,85 °C,85 °C,85 °C,85 °C,,,,,,,,,,,,,,,
DTS Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 °C,105 °C,105 °C,105 °C,,,105 °C,105 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,,,,,,,,,,,,No,,,,,2.0,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,No,2.0,No,2.0,No,No,2.0,No,2.0,No,No,No,,,,,,,,,No,,,,,,No,No,No,,,No,No,2.0,No,No,2.0,2.0,2.0,No,2.0,No,No,2.0,No,2.0
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,No,,,,,,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Integrated Intel® QuickAssist Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,No,Yes,No,,Yes,Yes,,No,,Yes,Yes,,No,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Intel® Resource Director Technology (Intel® RDT),,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Optane™ Memory Supported ‡,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,No,No,No,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 ‡,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,
Instruction Set,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,,,,,,,,,,,,,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,Intel® SSE4.2,,,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® AVX2,Intel® AVX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle States,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Enhanced Intel SpeedStep® Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Intel® Volume Management Device (VMD),,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secure Boot,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Time Coordinated Computing (Intel® TCC)‡,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Gaussian & Neural Accelerator,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® HD Audio Technology,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Intel® Smart Sound Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Wake on Voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® High Definition Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPI SoundWire*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,,,1.2,1.2,1.2,,1.2,,,,,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Monitoring Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Intel® Identity Protection Technology ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Intel® Rapid Storage Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,
Intel® Smart Connect Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,
Intel® Smart Response Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,
Intel® Virtualization Technology for Itanium (VT-i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Secure Key,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
