shard,model,field,why_missing,what_i_tried
intel-xeon-dew,Xeon D-2777NX,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2777NX,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2777NX,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2777NX,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2777NX,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2779,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2779,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2779,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2779,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2779,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2779,launch_price_usd,Tray/1000-unit price not published or not found in top search results for this SKU,Checked ARK pricing field and press materials; no price found
intel-xeon-dew,Xeon D-2775TE,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2775TE,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2775TE,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2775TE,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2775TE,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2775TE,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2775TE,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2876NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2876NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2876NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2876NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2876NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2876NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2766NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2766NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2766NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2766NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2766NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2766NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2766NT,launch_price_usd,Tray/1000-unit price not published or not found in top search results for this SKU,Checked ARK pricing field and press materials; no price found
intel-xeon-dew,Xeon D-2753NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2753NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2753NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2753NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2753NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2753NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2757NX,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2757NX,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2757NX,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2757NX,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2757NX,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2757NX,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2757NX,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2752NTE,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2752NTE,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2752NTE,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2752NTE,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2752NTE,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2752NTE,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2752NTE,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2752TER,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2752TER,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2752TER,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2752TER,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2752TER,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2752TER,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2752TER,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2745NX,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2745NX,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2745NX,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2745NX,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2745NX,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2745NX,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2745NX,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2843NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2843NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2843NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2843NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2843NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2843NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2733NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2733NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2733NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2733NT,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2733NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2733NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2733NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2738,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2738,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2738,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2738,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2738,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2738,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2738,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2739NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2739NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2739NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2739NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2739NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2739NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2832NT,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2832NT,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2832NT,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2832NT,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2832NT,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2832NT,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon D-2712T,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon D-2712T,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon D-2712T,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon D-2712T,mem_speed,Max supported memory speed not explicitly listed in ARK summary for this SKU,Checked ARK memory specifications section; found channel count/type but not explicit MT/s speed
intel-xeon-dew,Xeon D-2712T,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon D-2712T,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon D-2712T,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2288G,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2288G,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2288G,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2288G,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2288G,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2288G,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2288G,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2278G,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2278G,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2278G,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2278G,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2278G,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2278G,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2278G,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2278GEL,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2278GEL,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2278GEL,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2278GEL,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2278GEL,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2278GEL,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2278GEL,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2278GE,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2278GE,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2278GE,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2278GE,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2278GE,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2278GE,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2278GE,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2186G,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2186G,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2186G,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2186G,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2186G,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2186G,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2186G,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2136,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2136,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2136,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2136,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2136,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2136,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2136,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
intel-xeon-dew,Xeon E-2176G,all_core_boost,ARK/secondary sources for this generation do not report a distinct all-core turbo frequency separate from max turbo,Checked ARK page and TechPowerUp/WikiChip; no all-core value published
intel-xeon-dew,Xeon E-2176G,l2_cache,ARK summary omits per-core L2 breakdown for this SKU/generation,Checked ARK spec page; no explicit L2 total or per-core figure found in top search results
intel-xeon-dew,Xeon E-2176G,tdp_config_up,No configurable TDP-up/down or Maximum Turbo Power value published for this SKU (embedded/entry SKUs and Skylake-W often single-TDP),Checked ARK; only base TDP field present
intel-xeon-dew,Xeon E-2176G,pcie_lanes,Platform-level PCIe lane count not explicitly published per-SKU in top sources,"Checked ARK and chipset/platform docs; only PCIe generation confirmed, not per-CPU lane count"
intel-xeon-dew,Xeon E-2176G,igpu_cores,iGPU execution unit count not published for this SKU (either no iGPU present or ARK omits EU count),Checked ARK graphics specifications; no EU/core count listed
intel-xeon-dew,Xeon E-2176G,igpu_clock,iGPU max dynamic frequency not published for this SKU,Checked ARK graphics specifications; no frequency listed
intel-xeon-dew,Xeon E-2176G,npu_tops,No NPU present on any Xeon D/E/W SKU in this shard (pre-AI PC era silicon),Confirmed via ARK; no NPU/AI accelerator listed on any Skylake through Sapphire Rapids Xeon D/E/W part
